Dim,	ArraySize(KB),	Row-Major Time,	RM Sample,	Col-Major Time,	CM Sample,	Diff
    5,	          0,	0.000000477,	       4,	 0.000000477,	        0,	0.000000000
   10,	          0,	0.000000715,	       5,	 0.000000477,	        7,	-0.000000238
   25,	          2,	0.000000954,	      23,	 0.000001669,	       27,	0.000000715
   50,	          9,	0.000006199,	      41,	 0.000012398,	       42,	0.000006199
   75,	         21,	0.000007391,	      48,	 0.000029325,	       67,	0.000021935
  100,	         39,	0.000010252,	     111,	 0.000058889,	      107,	0.000048637
  150,	         87,	0.000024080,	      93,	 0.000159264,	      182,	0.000135183
  200,	        156,	0.000197411,	     294,	 0.000281811,	      309,	0.000084400
  250,	        244,	0.000280142,	     455,	 0.000463486,	      288,	0.000183344
  300,	        351,	0.000346184,	     362,	 0.000595331,	      247,	0.000249147
  400,	        625,	0.000205278,	     726,	 0.000358820,	      418,	0.000153542
  500,	        976,	0.000321150,	     291,	 0.000567675,	      379,	0.000246525
  750,	       2197,	0.000747442,	     802,	 0.001641989,	      598,	0.000894547
 1000,	       3906,	0.000935793,	     758,	 0.002532244,	     1206,	0.001596451
 2000,	      15625,	0.002561808,	    2392,	 0.008083582,	     2145,	0.005521774
 5000,	      97656,	0.013834000,	    6951,	 0.061349869,	     8017,	0.047515869
10000,	     390625,	0.045639992,	   10965,	 0.203283787,	    11688,	0.157643795
20000,	    1562500,	0.150446892,	   19252,	 1.266974449,	    21026,	1.116527557
30000,	    3515625,	0.338406086,	    4745,	 2.406289339,	    31243,	2.067883253
