Dim,	ArraySize(KB),	Row-Major Time,	RM Sample,	Col-Major Time,	CM Sample,	Diff
    5,	          0,	0.000000238,	      14,	 0.000000000,	        9,	-0.000000238
   10,	          0,	0.000000000,	      79,	 0.000000238,	       79,	0.000000238
   25,	          2,	0.000000238,	      39,	 0.000000238,	        9,	0.000000000
   50,	          9,	0.000000477,	    1319,	 0.000000954,	       29,	0.000000477
   75,	         21,	0.000001192,	    1484,	 0.000003099,	      109,	0.000001907
  100,	         39,	0.000001431,	    4159,	 0.000004768,	     1599,	0.000003338
  150,	         87,	0.000003815,	    6629,	 0.000010014,	    16249,	0.000006199
  200,	        156,	0.000006199,	   19799,	 0.000017881,	    14219,	0.000011683
  250,	        244,	0.000023365,	   39599,	 0.000055790,	    36359,	0.000032425
  300,	        351,	0.000015736,	    2519,	 0.000048876,	     3359,	0.000033140
  400,	        625,	0.000025749,	   29639,	 0.000091791,	   120079,	0.000066042
  500,	        976,	0.000043869,	   43919,	 0.000138283,	    55259,	0.000094414
  750,	       2197,	0.000091076,	  169849,	 0.000524998,	   112659,	0.000433922
 1000,	       3906,	0.000195026,	   42839,	 0.001138210,	     2159,	0.000943184
 2000,	      15625,	0.001489639,	 1948179,	 0.022606373,	   191159,	0.021116734
 5000,	      97656,	0.013256073,	13963379,	 0.140243530,	  1733099,	0.126987457
10000,	     390625,	0.045336485,	29751892,	 0.508622885,	  1504612,	0.463286400
20000,	    1562500,	0.147496462,	231528647,	 2.365386248,	 78444799,	2.217889786
