Dim,	ArraySize(KB),	Row-Major Time,	RM Sample,	Col-Major Time,	CM Sample,	Diff
    5,	          0,	0.000000238,	       6,	 0.000000000,	        1,	-0.000000238
   10,	          0,	0.000000238,	      14,	 0.000000238,	       39,	0.000000000
   25,	          2,	0.000001431,	      14,	 0.000001431,	       36,	0.000000000
   50,	          9,	0.000005722,	     438,	 0.000005722,	     1701,	0.000000000
   75,	         21,	0.000012875,	    4037,	 0.000014544,	     1900,	0.000001669
  100,	         39,	0.000022650,	    6376,	 0.000023603,	     7495,	0.000000954
  150,	         87,	0.000050306,	    8446,	 0.000060320,	    15247,	0.000010014
  200,	        156,	0.000089645,	   34801,	 0.000102282,	       13,	0.000012636
  250,	        244,	0.000138044,	   10059,	 0.000170469,	    15826,	0.000032425
  300,	        351,	0.000199795,	   78101,	 0.000240803,	    20038,	0.000041008
  400,	        625,	0.000355482,	   89576,	 0.000569105,	    18162,	0.000213623
  500,	        976,	0.000558615,	   77028,	 0.000719786,	    32382,	0.000161171
  750,	       2197,	0.001387835,	  293461,	 0.002151966,	    75452,	0.000764132
 1000,	       3906,	0.002333403,	  107349,	 0.004557610,	    51543,	0.002224207
 2000,	      15625,	0.009316683,	  223005,	 0.026745319,	  1589290,	0.017428637
 5000,	      97656,	0.045326948,	 7340618,	 0.146862268,	  7391594,	0.101535320
10000,	     390625,	0.178527117,	30404110,	 0.493554831,	 17490349,	0.315027714
20000,	    1562500,	0.718983650,	198611448,	 2.259120941,	230389905,	1.540137291
