Dim,	ArraySize(KB),	Row-Major Time,	RM Sample,	Col-Major Time,	CM Sample
   10,	          0,	0.000000000,	      15,	0.000000238,	      32
   20,	          1,	0.000000238,	      21,	0.000000477,	      26
   50,	          9,	0.000002623,	      73,	0.000001669,	     144
  100,	         39,	0.000014305,	      68,	0.000005722,	     188
  150,	         87,	0.000024557,	     186,	0.000012159,	     442
  200,	        156,	0.000079155,	     190,	0.000035286,	     186
  500,	        976,	0.000470161,	     568,	0.000353813,	     418
 1000,	       3906,	0.001616716,	    1103,	0.001428366,	     681
 2000,	      15625,	0.005551815,	    1419,	0.007848501,	    1189
 5000,	      97656,	0.035605431,	    6204,	0.060495377,	    3430
10000,	     390625,	0.148145676,	    6290,	0.463856697,	   10920
20000,	    1562500,	0.700424433,	   10111,	4.836644173,	    8593
40000,	    6250000,	6.095543385,	    9024,	44.460029602,	   18816
