Dim,	ArraySize(KB),	Row-Major Time,	RM Sample,	Col-Major Time,	CM Sample
   10,	          0,	0.000000238,	      23,	 0.000000238,	        7
   20,	          1,	0.000000238,	      95,	 0.000000477,	       63
   50,	          9,	0.000001192,	     111,	 0.000003099,	      139
  100,	         39,	0.000003815,	    1987,	 0.000007391,	      867
  150,	         87,	0.000007629,	    2155,	 0.000015974,	      671
  200,	        156,	0.000012159,	     767,	 0.000040531,	    19967
  500,	        976,	0.000074387,	   33791,	 0.000223398,	    39039
 1000,	       3906,	0.000317574,	   95359,	 0.001656771,	      127
 2000,	      15625,	0.001822472,	   27647,	 0.008665562,	    87039
 5000,	      97656,	0.015828609,	12751391,	 0.070864916,	  3521183
10000,	     390625,	0.047500610,	 2266271,	 0.357491970,	 25610111
20000,	    1562500,	0.191143990,	25174512,	 4.814688206,	 32951814
40000,	    6250000,	0.883065224,	141508270,	66.746937513,	116683631
