Dim,	ArraySize(KB),	Row-Major Time,	RM Sample,	Col-Major Time,	CM Sample,	 Difference
   10,	          0,	0.000000477,	00000064,	0.000000238,	00000063	0.000000238
   20,	          1,	0.000000238,	000000CC,	0.000000477,	000000E9	-0.000000238
   50,	          9,	0.000002623,	000001E4,	0.000004292,	000001A0	-0.000001669
  100,	         39,	0.000007153,	00000404,	0.000013590,	00000456	-0.000006437
  200,	        156,	0.000033617,	00000813,	0.000052214,	0000080F	-0.000018597
  500,	        976,	0.000193119,	0000109D,	0.000506163,	00001277	-0.000313044
 1000,	       3906,	0.000669003,	00002733,	0.002027988,	00002CC8	-0.001358986
 2000,	      15625,	0.002665043,	00004718,	0.010874033,	00005AF8	-0.008208990
 5000,	      97656,	0.020594120,	00001C6B,	0.083381653,	00001DF4	-0.062787533
10000,	     390625,	0.063822746,	0000746C,	0.712324858,	00007380	-0.648502111
20000,	    1562500,	0.295757532,	0000A456,	6.908070564,	000059CD	-6.612313032
