Dim,	ArraySize(KB),	Row-Major Time,	RM Sample,	Col-Major Time,	CM Sample,	Diff
    5,	          0,	0.000000238,	       5,	 0.000000238,	        4,	0.000000000
   10,	          0,	0.000000715,	       6,	 0.000000715,	        8,	0.000000000
   25,	          2,	0.000004053,	      57,	 0.000004053,	        7,	0.000000000
   50,	          9,	0.000015736,	    1247,	 0.000015736,	      625,	0.000000000
   75,	         21,	0.000036001,	    1216,	 0.000035524,	     1249,	-0.000000477
  100,	         39,	0.000063658,	    5278,	 0.000062943,	     5032,	-0.000000715
  150,	         87,	0.000142813,	    4532,	 0.000142097,	     4305,	-0.000000715
  200,	        156,	0.000253439,	   16494,	 0.000300646,	     9782,	0.000047207
  250,	        244,	0.000394106,	   18559,	 0.000392914,	    12414,	-0.000001192
  300,	        351,	0.000589371,	   50335,	 0.000566244,	    39479,	-0.000023127
  400,	        625,	0.001012564,	   65176,	 0.001054525,	     6341,	0.000041962
  500,	        976,	0.001588106,	    1559,	 0.001761675,	     5113,	0.000173569
  750,	       2197,	0.003657103,	  206897,	 0.004029751,	   150637,	0.000372648
 1000,	       3906,	0.006554604,	  238828,	 0.007696390,	   376525,	0.001141787
 2000,	      15625,	0.029925823,	  113343,	 0.038003445,	   238236,	0.008077621
 5000,	      97656,	0.160877228,	 8873521,	 0.194892645,	  1072203,	0.034015417
10000,	     390625,	0.669421434,	  380813,	 0.756394625,	 42205013,	0.086973190
20000,	    1562500,	2.660469055,	282662253,	 3.379873276,	281091151,	0.719404221
