Dim,	ArraySize(KB),	Row-Major Unit-Stride Time,	Sample,		Col-Major Unit-Stride Time,	Sample,	Row-Major Irregular-Stride Time,	Sample,	Column-Major Irregular-Stride Time,	Sample,	Fast Random Time,	Sample,	Proper Random Time,	Sample
    5,	          0,	0.000000238,	       8,	 0.000000000,	        8,	 0.000000238,	        6,	 0.000000477,	        9,	 0.000000477,	        4,	 0.000000238,	       12
   10,	          0,	0.000000238,	      55,	 0.000000238,	       55,	 0.000000715,	       53,	 0.000000954,	       52,	 0.000000715,	       42,	 0.000001669,	       51
   25,	          2,	0.000000238,	     505,	 0.000000238,	      505,	 0.000004768,	      503,	 0.000005007,	      502,	 0.000005007,	      462,	 0.000009060,	      488
   50,	          9,	0.000000477,	    1151,	 0.000001431,	     1151,	 0.000019073,	     1123,	 0.000019789,	     1122,	 0.000019789,	     1058,	 0.000035763,	     1063
   75,	         21,	0.000001192,	     175,	 0.000003099,	      175,	 0.000043392,	      371,	 0.000044823,	      371,	 0.000044584,	      147,	 0.000079393,	      449
  100,	         39,	0.000002146,	    2960,	 0.000005245,	     2960,	 0.000076532,	     2956,	 0.000079632,	     2956,	 0.000080109,	     2790,	 0.000141382,	     2879
  150,	         87,	0.000004292,	    6131,	 0.000011206,	     4031,	 0.000172138,	     1925,	 0.000178814,	     1886,	 0.000191927,	     3854,	 0.000318050,	     5993
  200,	        156,	0.000007629,	   19007,	 0.000020266,	    19007,	 0.000307083,	    19002,	 0.000349045,	    18872,	 0.000332117,	     5371,	 0.000565529,	     5240
  250,	        244,	0.000012398,	   26225,	 0.000030041,	    44584,	 0.000502110,	     7436,	 0.000495672,	    16551,	 0.000516653,	    25345,	 0.000895739,	    43928
  300,	        351,	0.000016689,	    4955,	 0.000053883,	     4955,	 0.000697851,	      766,	 0.000726223,	      744,	 0.000727654,	     4620,	 0.001786470,	     3751
  400,	        625,	0.000028849,	    7475,	 0.000104666,	    60647,	 0.001235962,	    33635,	 0.001287460,	    59315,	 0.001315117,	    31920,	 0.002310514,	     4696
  500,	        976,	0.000044584,	    1503,	 0.000154257,	    38594,	 0.001930952,	    10523,	 0.002017260,	      746,	 0.002080441,	    37076,	 0.003751993,	    46176
  750,	       2197,	0.000108480,	  507383,	 0.001058102,	    67889,	 0.004348278,	   207761,	 0.004612207,	   492798,	 0.004658699,	   485576,	 0.008345366,	    37179
 1000,	       3906,	0.000205278,	  410249,	 0.002852917,	    78911,	 0.007859945,	   179957,	 0.011211395,	   277872,	 0.008220434,	   268632,	 0.017183542,	    88440
 2000,	      15625,	0.001718044,	  505421,	 0.009245872,	   720593,	 0.030909061,	  1294899,	 0.046299219,	  1460532,	 0.032926798,	   636952,	 0.158598661,	   259728
 5000,	      97656,	0.010693550,	 4273139,	 0.082933664,	  1807490,	 0.196953058,	  9631665,	 0.306380510,	  7199643,	 0.224677086,	  9575720,	 1.239852428,	   698201
10000,	     390625,	0.047980785,	13813491,	 0.318724632,	 14973903,	 0.793492317,	 17281609,	 1.253345728,	 30537845,	 0.920163631,	 63318194,	 5.271354914,	 26459432
20000,	    1562500,	0.181271553,	56745457,	 1.234844923,	 30210047,	 3.283059835,	 51864511,	 5.504233360,	 13922628,	 4.030386448,	 24357941,	20.755374908,	 20150053
