Step,Time,Sum
1,109.58,1267367648
2,97.25,1273632960
3,84.34,-1938007936
4,87.33,553292896
5,74.41,1695566752
6,74.23,1383275648
7,73.38,-1746076992
8,74.43,-1384586432
9,72.87,-1247513792
10,74.62,-41166048
11,74.98,589591104
12,77.53,188498784
13,82.53,-146066496
14,87.34,1698650976
15,88.39,1749246432
16,90.51,903617600
32,76.72,-164638528
64,48.19,-1100251104
128,25.53,1332394176
256,13.85,-1531741280
512,6.91,1166032480
1024,2.86,-14960224
2048,1.34,1472501440
4096,0.77,-1552704800
8192,0.38,-1361094784
16384,0.21,-1026886528
32768,0.12,8235104
65536,0.05,31362496
